,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
48,Puerto Ayora,57,EC,1579966062,52,-0.74,-90.35,77.0,7.0
49,Strezhevoy,71,RU,1579966048,96,60.73,77.59,0.73,6.53
50,Verkhoyansk,5,RU,1579966065,99,67.54,133.38,-45.26,0.96
51,Ararangua,0,BR,1579966065,50,-28.93,-49.49,79.3,5.57
52,Kahului,0,US,1579965989,75,20.89,-156.47,71.01,5.01
53,Tual,82,ID,1579966066,67,-5.67,132.75,83.91,2.84
54,Manzhouli,28,CN,1579966066,78,49.6,117.43,-6.52,3.27
55,Nador,98,MA,1579966066,40,35.17,-2.93,68.0,3.36
56,Bani,90,DO,1579966066,64,18.28,-70.33,81.0,1.99
57,Castro,69,BR,1579966066,49,-24.79,-50.01,76.28,6.53
58,Port Alfred,3,ZA,1579966066,82,-33.59,26.89,73.0,1.99
59,Hilo,14,US,1579966066,91,19.73,-155.09,68.0,5.01
60,Miles City,67,US,1579966077,67,46.41,-105.84,34.0,7.0
61,Tonaya,92,MX,1579966077,76,19.78,-103.97,59.63,1.7
62,Butaritari,0,KI,1579965887,74,3.07,172.79,84.49,10.09
63,Grand Island,90,US,1579965848,92,40.92,-98.34,28.0,5.82
64,Tuatapere,29,NZ,1579966087,89,-46.13,167.68,53.01,2.84
65,Bredasdorp,4,ZA,1579966087,54,-34.53,20.04,78.8,14.99
66,Tha Mai,100,TH,1579966098,65,12.62,102.0,84.0,7.94
67,Bethel,90,US,1579966098,93,41.37,-73.41,43.0,11.41
68,East London,24,ZA,1579966098,65,-33.02,27.91,80.6,6.93
69,San Juan Tepulco,92,MX,1579966108,81,19.12,-97.98,53.08,4.97
70,Longyearbyen,0,SJ,1579966032,61,78.22,15.64,-11.92,3.0
71,Husavik,90,IS,1579966108,91,66.04,-17.34,32.0,44.96
72,Avarua,79,CK,1579966118,88,-21.21,-159.78,79.81,14.79
73,Saint-Philippe,75,RE,1579966129,83,-21.36,55.77,84.2,20.8
74,Mar del Plata,0,AR,1579966125,92,-38.0,-57.56,69.01,8.25
75,Tripoli,100,LY,1579965983,61,32.88,13.19,64.22,4.36
76,Bluff,61,NZ,1579966129,89,-46.6,168.33,53.01,2.8
77,Simdega,0,IN,1579966129,31,22.62,84.52,60.69,2.84
78,Naze,100,JP,1579966130,81,28.37,129.48,69.62,7.07
79,Independence,90,US,1579966130,86,39.09,-94.42,30.99,5.14
80,Thompson,57,CA,1579965865,95,55.74,-97.86,10.11,2.46
81,Busselton,42,AU,1579966140,50,-33.65,115.33,68.0,12.28
82,Bilibino,100,RU,1579966140,91,68.05,166.44,-14.6,3.29
83,Torbay,0,CA,1579966022,68,47.67,-52.73,21.99,7.0
84,Norman Wells,100,CA,1579966151,97,65.28,-126.83,-14.31,13.2
85,Puerto Quijarro,14,BO,1579966151,63,-17.78,-57.77,87.82,2.75
86,Karratha,0,AU,1579966161,79,-20.74,116.85,84.11,14.9
87,Tabou,22,CI,1579966161,60,4.42,-7.35,88.39,7.31
88,Altmuenster,100,AT,1579966182,82,47.9,13.76,39.99,1.03
89,Salalah,59,OM,1579966252,83,17.02,54.09,74.23,4.27
90,Atuona,3,PF,1579966252,76,-9.8,-139.03,80.47,14.2
91,Batie,0,BF,1579966252,3,9.88,-2.92,99.45,11.7
92,Batagay-Alyta,0,RU,1579966253,54,67.8,130.41,-34.19,4.59
93,Lipari,74,IT,1579966253,20,38.47,14.95,62.01,4.52
94,Franklin,90,US,1579966222,93,39.97,-83.02,37.99,11.41
95,Maceio,51,BR,1579965984,78,-9.67,-35.74,81.54,13.89
96,Krasnyy Yar,100,RU,1579966253,65,46.53,48.35,41.0,20.0
97,Polovinnoye,100,RU,1579966254,90,54.79,65.99,8.83,16.15
98,Crib Point,0,AU,1579966254,92,-38.35,145.2,64.0,5.93
99,Kruisfontein,21,ZA,1579966254,64,-34.0,24.73,75.9,11.54
100,Boralday,100,KZ,1579966254,98,43.36,76.86,28.17,3.8
101,Chui,69,UY,1579966254,34,-33.7,-53.46,88.29,12.06
102,Tautira,100,PF,1579966255,83,-17.73,-149.15,77.0,4.0
103,Cape Town,75,ZA,1579966255,82,-33.93,18.42,71.01,14.99
104,Broome,100,US,1579966255,95,42.25,-75.83,37.0,1.01
105,Batagay,0,RU,1579966255,95,67.63,134.63,-42.61,1.88
106,Boke,88,GN,1579966256,13,10.94,-14.3,103.87,3.22
107,Kumul,0,CN,1579966256,79,42.8,93.45,8.85,2.57
108,Hermanus,18,ZA,1579966024,78,-34.42,19.23,71.01,10.0
109,Ilulissat,40,GL,1579966256,50,69.22,-51.1,8.6,5.82
110,Saldanha,27,ZA,1579966256,83,-33.01,17.94,69.8,5.82
111,Ichchapuram,44,IN,1579966256,92,19.12,84.7,67.26,2.39
112,Mutoko,95,ZW,1579966257,65,-17.4,32.23,75.6,6.67
113,Manggar,0,ID,1579966257,79,-2.88,108.27,82.09,9.62
114,Chokurdakh,26,RU,1579966257,92,70.63,147.92,-32.53,1.88
115,Guaratinga,100,BR,1579966257,62,-16.57,-39.57,83.84,10.67
116,Praia da Vitoria,100,PT,1579966257,89,38.73,-27.07,61.9,20.4
117,Hofn,100,IS,1579966258,70,64.25,-15.21,38.75,18.9
118,Timbo,49,BR,1579966258,99,-26.82,-49.27,88.0,3.47
119,Novyy Urengoy,89,RU,1579966258,96,66.08,76.63,-0.71,6.02
120,Yellowknife,100,CA,1579966258,84,62.46,-114.35,3.0,11.99
121,Urucara,100,BR,1579966258,47,-2.54,-57.76,92.86,3.94
122,Santa Rosa,48,PH,1579966259,85,14.31,121.11,79.0,5.01
123,Qaqortoq,75,GL,1579966259,66,60.72,-46.03,15.8,3.36
124,George Town,0,MY,1579965975,74,5.41,100.34,82.0,0.29
125,Hithadhoo,100,MV,1579966259,79,-0.6,73.08,83.28,12.39
126,Rosarito,90,MX,1579966259,93,32.33,-117.03,53.01,1.41
127,Camacha,12,PT,1579966260,85,33.08,-16.33,54.0,1.01
128,Kodiak,91,US,1579966260,80,57.79,-152.41,20.1,23.06
129,Bengkulu,96,ID,1579966260,93,-3.8,102.27,74.08,3.13
130,Xam Nua,19,LA,1579966260,89,20.42,104.04,54.46,1.57
131,Yurimaguas,100,PE,1579966260,52,-5.9,-76.08,90.09,2.06
132,Vila Franca do Campo,96,PT,1579966261,75,37.72,-25.43,64.0,4.0
133,Wajir,100,KE,1579966261,40,1.75,40.06,91.9,11.5
134,Fort Nelson,55,CA,1579966273,97,58.81,-122.7,-2.43,0.98
135,San Quintin,0,MX,1579966321,88,30.48,-115.95,55.51,1.83
136,Poltavka,0,RU,1579966321,91,54.37,71.76,5.13,11.56
137,Altamira,99,BR,1579966322,55,-3.2,-52.21,90.23,4.27
138,Bac Lieu,0,VN,1579966322,93,9.29,105.72,73.31,6.4
139,Ormara,36,PK,1579966322,73,25.21,64.64,72.64,14.94
140,Provideniya,0,RU,1579966077,88,64.38,-173.3,-8.1,4.47
141,Port Hardy,100,CA,1579966322,98,50.7,-127.42,40.64,1.39
142,Arecibo,2,PR,1579966322,68,18.47,-66.72,82.99,3.0
143,Kanlagay,0,PH,1579966323,75,5.88,121.29,82.44,1.14
144,Alihe,0,CN,1579966323,87,50.57,123.72,-5.8,4.99
145,Geraldton,100,AU,1579966267,79,-28.77,114.6,73.09,25.59
146,Samana,0,DO,1579966323,56,19.21,-69.34,79.97,2.68
147,Remanso,57,BR,1579966323,52,-9.62,-42.08,88.05,3.6
148,Omaruru,0,NA,1579966323,14,-21.43,15.93,92.75,14.63
149,Borodino,100,RU,1579966323,70,55.91,94.9,29.79,20.0
150,Saskylakh,100,RU,1579966120,91,71.92,114.08,-18.35,20.24
151,Azua,90,DO,1579966324,29,18.45,-70.73,61.0,1.48
152,Tuktoyaktuk,100,CA,1579966232,97,69.45,-133.04,-13.68,18.86
153,Fuyu,0,CN,1579966324,93,45.18,124.82,-4.34,3.62
154,Port Moresby,67,PG,1579966325,78,-9.44,147.18,81.64,6.35
155,Goderich,100,CA,1579966225,88,43.75,-81.72,39.0,4.0
156,Yengema,0,SL,1579966325,9,8.72,-11.17,97.54,4.92
157,Olafsvik,100,IS,1579966263,95,64.89,-23.71,28.92,27.36
158,Teya,100,RU,1579966325,87,60.38,92.63,26.67,13.67
159,Sao Jose da Coroa Grande,81,BR,1579966326,80,-8.9,-35.15,81.39,9.95
160,Riyadh,0,SA,1579966144,31,24.69,46.72,56.57,13.62
161,Chernyanka,100,RU,1579966326,97,50.94,37.81,34.21,17.02
162,Trapani,100,IT,1579966326,88,37.83,12.67,66.0,7.0
163,Ponta Delgada,96,PT,1579966327,75,37.73,-25.67,64.0,4.0
164,Sakaiminato,100,JP,1579966327,76,35.55,133.23,43.63,6.71
165,Lima,100,PE,1579966096,60,-12.04,-77.03,78.94,6.58
166,Katsuura,100,JP,1579966327,58,35.13,140.3,46.99,4.0
167,Kieta,87,PG,1579966327,77,-6.22,155.63,81.36,4.63
168,Cedar City,68,US,1579966028,95,37.68,-113.06,24.01,1.01
169,Airai,100,TL,1579966328,96,-8.93,125.41,69.28,0.67
170,Changji,47,CN,1579966328,89,44.02,87.32,9.0,1.79
171,Menongue,18,AO,1579966328,74,-14.66,17.69,75.87,7.9
172,Andenes,83,NO,1579966328,100,69.31,16.12,30.99,25.55
173,Matara,100,LK,1579966328,83,5.95,80.54,78.19,4.68
174,Am Timan,0,TD,1579966328,6,11.03,20.28,88.7,6.49
175,Okhotsk,0,RU,1579966389,67,59.38,143.3,-22.68,14.05
176,Inongo,0,CD,1579966389,23,-1.95,18.27,93.69,3.11
177,Karoi,41,ZW,1579966389,71,-16.81,29.69,75.94,1.1
178,Pisco,100,PE,1579966273,75,-13.7,-76.22,81.0,1.01
179,Tasiilaq,100,GL,1579966328,57,65.61,-37.64,25.56,12.75
180,Port Elizabeth,5,ZA,1579966227,65,-33.92,25.57,77.0,14.99
181,Benton,90,US,1579966390,92,36.33,-94.33,33.01,4.7
182,Prainha,100,BR,1579966390,42,-1.8,-53.48,94.35,6.49
183,Kirovskiy,33,RU,1579966390,85,45.09,133.51,-5.89,4.76
184,Sitka,100,US,1579966390,81,57.05,-135.33,31.93,6.33
185,Stokmarknes,18,NO,1579966390,84,68.56,14.91,34.0,3.0
186,Nanortalik,100,GL,1579966325,78,60.14,-45.24,21.43,18.68
187,Tura,0,IN,1579966391,67,25.52,90.22,58.84,3.38
188,Kalamata,20,GR,1579966391,67,37.04,22.11,59.0,5.39
189,Ozark,90,US,1579966401,92,37.02,-93.21,34.0,8.05
190,Mehamn,100,NO,1579966402,79,71.04,27.85,16.16,16.73
191,Upernavik,100,GL,1579966243,92,72.79,-56.15,-11.33,5.86
192,Vila Velha,100,BR,1579966393,81,-20.33,-40.29,78.01,3.74
193,Nome,0,US,1579966402,72,64.5,-165.41,-9.02,6.82
194,Hulan Ergi,0,CN,1579966402,83,47.2,123.63,-4.9,6.26
195,Brownsville,98,US,1579966132,80,25.9,-97.5,69.01,5.99
196,Lebu,0,CL,1579966403,35,-37.62,-73.65,74.73,10.04
197,Iralaya,64,HN,1579966403,61,15.0,-83.23,78.49,9.69
198,Djibo,45,BF,1579966403,4,14.1,-1.63,95.25,18.41
199,Khani,0,GE,1579966404,72,41.96,42.96,25.77,6.96
200,Brae,100,GB,1579966404,84,60.4,-1.35,47.28,34.38
201,Rawson,24,AR,1579966295,63,-43.3,-65.1,61.2,9.69
202,Tra Vinh,9,VN,1579966404,96,9.93,106.35,72.37,3.58
203,Coffs Harbour,7,AU,1579966404,89,-30.3,153.13,75.99,1.01
204,Narsaq,75,GL,1579966319,66,60.92,-46.05,15.8,3.36
205,Luderitz,0,NA,1579966405,83,-26.65,15.16,67.75,10.92
206,Sorland,100,NO,1579966405,56,67.67,12.69,36.79,1.5
207,Shingu,100,JP,1579966405,80,33.73,135.98,49.46,10.54
208,Xining,13,CN,1579966405,67,36.62,101.77,15.98,2.62
209,Ambilobe,89,MG,1579966405,84,-13.2,49.05,79.88,2.68
210,Dingle,100,PH,1579966328,86,11.0,122.67,75.94,7.07
211,Acari,100,PE,1579966406,71,-15.43,-74.62,72.75,7.18
212,Garoowe,11,SO,1579966310,32,8.41,48.48,89.85,14.09
213,Swidnica,0,PL,1579966406,10,50.84,16.49,33.01,2.64
214,Takaka,11,NZ,1579966406,90,-40.85,172.8,63.0,3.0
215,Puerto Leguizamo,100,CO,1579966406,92,-0.19,-74.78,79.86,1.99
216,Kapuskasing,100,CA,1579966406,96,49.42,-82.43,26.37,5.01
217,Parana,0,AR,1579966407,41,-31.73,-60.52,95.0,1.01
218,Shache,0,CN,1579966407,65,38.42,77.24,23.74,3.49
219,Tongren,100,CN,1579966407,97,27.72,109.19,37.44,4.21
220,Puerto del Rosario,20,ES,1579966467,35,28.5,-13.86,71.6,11.41
221,Faanui,22,PF,1579966467,76,-16.48,-151.75,81.66,12.24
222,Mollendo,100,PE,1579966467,75,-17.02,-72.01,73.33,6.53
223,Ust-Kuyga,2,RU,1579966468,96,70.02,135.6,-41.89,7.72
224,Potosi,4,BO,1579966388,29,-19.58,-65.75,58.68,8.59
225,Gazimurskiy Zavod,4,RU,1579966468,85,51.55,118.33,-5.46,4.21
226,Gushikawa,100,JP,1579966468,88,26.35,127.87,71.01,5.99
227,Waingapu,68,ID,1579966404,73,-9.66,120.26,84.79,7.72
228,Dunedin,36,NZ,1579966355,76,-45.87,170.5,59.0,5.01
229,Bolanos de Calatrava,100,ES,1579966309,86,38.91,-3.66,50.0,1.01
230,Virden,90,US,1579966254,92,39.5,-89.77,32.0,17.22
231,Itoman,100,JP,1579966469,88,26.12,127.67,71.01,5.99
232,Hudson Bay,100,CA,1579966469,97,52.85,-102.38,17.69,1.14
233,Terrace,100,CA,1579966263,92,54.52,-128.6,33.01,3.98
234,Buraidah,0,SA,1579966469,20,26.33,43.98,50.09,13.96
235,Meulaboh,66,ID,1579966469,68,4.14,96.13,85.37,3.96
236,Sudak,10,UA,1579966470,83,44.85,34.97,37.09,2.53
237,San Patricio,8,MX,1579966470,75,19.22,-104.7,75.58,5.95
238,Saint Joseph,90,US,1579966380,86,39.77,-94.85,32.0,4.7
239,Jumla,57,NP,1579966470,72,29.27,82.18,27.1,4.92
240,Kabalo,100,CD,1579966470,81,-6.05,26.92,81.12,1.54
241,San Andres,56,CO,1579966466,68,12.58,-81.7,79.11,13.8
242,Klaksvik,100,FO,1579966471,83,62.23,-6.59,46.96,29.68
243,Mahebourg,75,MU,1579966471,88,-20.41,57.7,78.01,18.34
244,Tenerife,97,CO,1579966471,64,9.9,-74.86,82.38,6.96
245,Vardo,100,NO,1579966471,66,70.37,31.11,23.85,19.98
246,Vawkavysk,100,BY,1579966471,85,53.16,24.45,35.28,14.54
247,Shimoda,100,JP,1579966471,85,34.67,138.95,46.0,1.99
248,Mareeba,79,AU,1579966472,94,-17.0,145.43,78.01,0.96
249,Los Llanos de Aridane,75,ES,1579966472,52,28.66,-17.92,69.8,5.82
250,Kalmunai,100,LK,1579966472,74,7.42,81.82,80.92,15.14
251,Souillac,75,MU,1579966472,88,-20.52,57.52,78.01,18.34
252,Glendive,75,US,1579966472,69,47.11,-104.71,37.4,13.87
253,Kiruna,98,SE,1579966403,95,67.86,20.23,10.11,4.76
254,Hong Kong,100,HK,1579966297,96,22.29,114.16,66.0,8.86
255,Talnakh,100,RU,1579966473,95,69.49,88.4,2.03,8.75
256,Cidreira,0,BR,1579966234,56,-30.18,-50.21,76.35,4.34
257,Kiyasovo,100,RU,1579966473,95,56.35,53.12,26.01,9.28
258,Pevek,99,RU,1579966473,97,69.7,170.31,-18.9,4.97
259,Genhe,59,CN,1579966473,99,50.78,121.52,-16.71,4.45
260,Kiryat Gat,56,IL,1579966213,68,31.61,34.76,54.0,6.11
261,Honningsvag,100,NO,1579966474,72,70.98,25.97,20.12,19.95
262,Ancud,100,CL,1579966474,98,-41.87,-73.82,59.29,5.64
263,Walla Walla,92,US,1579966299,78,46.06,-118.34,46.0,1.99
264,Paamiut,91,GL,1579966455,62,61.99,-49.67,16.09,7.99
265,Batemans Bay,93,AU,1579966474,96,-35.72,150.18,73.99,0.43
266,Tilichiki,100,RU,1579966474,84,60.47,166.1,24.64,25.55
267,Orzhytsya,86,UA,1579966535,86,49.79,32.7,32.95,10.71
268,Phan Thiet,37,VN,1579966535,95,10.93,108.1,69.8,2.77
269,The Valley,6,AI,1579966324,65,18.22,-63.06,82.99,5.01
270,Puerto Escondido,0,MX,1579966387,62,15.85,-97.07,75.69,0.78
271,Amarillo,66,US,1579966329,74,35.22,-101.83,41.0,7.0
272,Kungurtug,62,RU,1579966536,70,50.6,97.52,3.36,5.57
273,Clyde River,75,CA,1579966536,74,70.47,-68.59,-27.4,4.7
274,Isla Vista,90,US,1579966536,100,34.41,-119.86,53.01,3.36
275,Zhaotong,100,CN,1579966536,89,27.32,103.72,28.13,2.35
276,Nipawin,90,CA,1579966536,92,53.37,-104.0,19.4,4.7
277,Littleton,98,US,1579966465,68,39.61,-105.02,39.0,1.99
278,Aktash,87,RU,1579966537,78,50.3,87.73,5.88,8.86
279,Umm Lajj,0,SA,1579966537,13,25.02,37.27,62.02,20.22
280,Avera,40,US,1579966466,75,33.19,-82.53,48.0,13.87
281,Bull Savanna,1,JM,1579966537,59,17.89,-77.59,76.41,0.63
282,Esim,7,GH,1579966407,39,4.87,-2.24,93.18,8.81
283,Necochea,0,AR,1579966537,28,-38.55,-58.74,84.99,5.01
284,Stelle,98,DE,1579966538,95,53.38,10.11,39.99,1.01
285,Margate,64,GB,1579966255,61,51.38,1.39,43.0,5.01
286,Sorong,21,ID,1579966538,93,-0.88,131.25,74.55,2.24
287,Itarema,8,BR,1579966538,48,-2.92,-39.92,92.34,12.84
288,Kasempa,95,ZM,1579966538,89,-13.46,25.83,73.15,5.23
289,Tiksi,0,RU,1579966248,74,71.69,128.87,-29.65,4.63
290,Safi,0,MA,1579966447,65,32.3,-9.24,61.36,19.06
291,Marawi,55,PH,1579966539,86,8.0,124.29,81.0,1.99
292,Fairbanks,100,US,1579966282,67,64.84,-147.72,-6.0,4.07
293,Yinchuan,9,CN,1579966539,79,38.47,106.27,28.04,6.2
294,Bambous Virieux,75,MU,1579966539,88,-20.34,57.76,78.01,18.34
295,Karanpura,86,IN,1579966540,44,29.1,75.09,63.46,1.97
296,Sao Filipe,18,CV,1579966540,55,14.9,-24.5,76.06,21.5
297,Ostrovnoy,100,RU,1579966540,94,68.05,39.51,7.12,3.69
298,Pedernales,0,DO,1579966540,63,18.04,-71.74,77.36,4.23
299,Sakakah,97,SA,1579966540,54,29.97,40.21,46.49,15.01
300,Loandjili,20,CG,1579966541,70,-4.76,11.86,87.8,11.41
301,Atikokan,41,CA,1579966541,96,48.76,-91.62,17.91,3.83
302,Arrondissement de Mende,65,FR,1579966510,86,44.67,3.5,41.13,7.18
303,Angoche,96,MZ,1579966541,86,-16.23,39.91,79.7,5.19
304,Amnat Charoen,100,TH,1579966542,64,15.86,104.63,81.0,0.83
305,Vanimo,0,PG,1579966542,81,-2.67,141.3,83.1,15.52
306,Bilma,12,NE,1579966341,8,18.69,12.92,77.61,9.42
307,Kenai,32,US,1579966403,60,60.55,-151.26,9.0,10.0
308,Lorengau,29,PG,1579966322,69,-2.02,147.27,83.86,7.0
309,Saint-Louis,8,SN,1579966542,9,16.33,-15.0,100.56,7.83
310,Alofi,100,NU,1579966543,86,-19.06,-169.92,80.47,9.82
311,Alta Floresta,99,BR,1579966543,80,-9.88,-56.09,82.69,7.36
312,Otradnoye,100,RU,1579966603,71,59.78,30.82,33.01,1.01
313,Barra Patuca,67,HN,1579966603,59,15.8,-84.28,77.83,9.06
314,Hearst,100,CA,1579966604,95,49.68,-83.67,25.14,5.37
315,Kaitangata,97,NZ,1579966604,81,-46.28,169.85,57.87,3.44
316,Portland,90,US,1579966604,93,45.52,-122.68,50.0,6.93
317,Guerrero Negro,0,MX,1579966604,93,27.98,-114.06,56.75,2.04
318,Pangnirtung,100,CA,1579966482,99,66.15,-65.71,-37.43,1.88
319,Banjar,19,ID,1579966604,67,-8.19,114.97,84.42,2.19
320,Namatanai,11,PG,1579966605,77,-3.67,152.43,82.74,10.85
321,Nsanje,91,MW,1579966605,86,-16.92,35.26,80.22,2.51
322,Zhigalovo,35,RU,1579966605,91,54.81,105.16,5.27,3.06
323,Jaque,73,PA,1579966605,69,7.52,-78.17,77.76,4.65
324,Oranjemund,0,NA,1579966605,60,-28.55,16.43,72.66,15.79
325,Bonanza,13,NI,1579966606,66,14.03,-84.59,73.9,5.03
326,Comlosu Mare,100,RO,1579966606,62,45.89,20.63,43.0,4.0
327,Baloda Bazar,0,IN,1579966606,37,21.67,82.17,69.66,1.52
328,Santa Fe,0,AR,1579966606,41,-31.63,-60.7,95.0,8.01
329,Merrill,90,US,1579966606,95,45.18,-89.68,34.0,5.82
330,Nacala,75,MZ,1579966607,74,-14.54,40.67,82.4,8.05
331,Karang Tengah,52,ID,1579966607,87,-7.58,111.86,77.11,3.74
332,Pathein,100,MM,1579966607,59,16.78,94.73,71.87,10.92
333,Kisangani,99,CD,1579966607,20,0.52,25.2,93.94,1.72
334,Adrar,100,MR,1579966607,20,20.5,-10.07,87.66,4.16
335,Kosh-Agach,90,RU,1579966607,66,50.0,88.67,-0.2,1.63
336,Yar-Sale,82,RU,1579966415,98,66.83,70.83,-2.13,5.26
337,Porbandar,0,IN,1579966608,51,21.64,69.61,75.07,13.85
338,Lotofaga,53,WS,1579966608,83,-13.98,-171.86,82.0,3.0
339,Guadalupe y Calvo,100,MX,1579966608,74,26.1,-106.97,45.99,2.33
340,Paita,74,PE,1579966609,54,-5.09,-81.11,82.74,11.97
341,Vestmannaeyjar,75,IS,1579966446,86,63.44,-20.27,41.0,17.22
342,Nouadhibou,0,MR,1579966565,52,20.93,-17.03,70.07,14.83
343,Lagoa,100,PT,1579966555,80,39.05,-27.98,58.95,13.47
344,Surman,100,LY,1579966609,58,32.76,12.57,64.69,3.65
345,Anshan,0,CN,1579966602,59,41.12,122.99,20.16,4.54
346,Sahy,72,SK,1579966610,91,48.07,18.95,33.01,2.89
347,Pochutla,0,MX,1579966506,77,15.74,-96.47,77.05,5.97
348,Aksu,0,CN,1579966610,72,41.12,80.26,24.85,5.01
349,Sayyan,70,YE,1579966610,53,15.17,44.32,62.47,6.67
350,Alpena,100,US,1579966610,79,45.06,-83.43,37.99,4.0
351,Bunda,75,TZ,1579966610,65,-2.05,33.87,78.8,8.05
352,Wanning,1,CN,1579966405,89,18.8,110.4,69.01,2.17
353,Elban,16,RU,1579966611,97,50.1,136.51,-18.26,5.79
354,Talagang,0,PK,1579966352,52,32.93,72.42,50.68,2.1
355,Havre-Saint-Pierre,100,CA,1579966611,87,50.23,-63.6,19.02,7.94
356,Cayenne,100,GF,1579966611,83,4.93,-52.33,81.14,6.53
357,Dinguiraye,39,GN,1579966611,4,11.3,-10.72,99.63,7.25
358,Omsk,78,RU,1579966671,93,55.0,73.4,5.99,10.69
359,Gunnedah,38,AU,1579966672,82,-30.98,150.25,74.43,2.84
360,Saint-Joseph,75,RE,1579966672,83,-21.37,55.62,84.2,20.8
361,Nizwa,36,OM,1579966458,50,22.93,57.53,68.59,8.16
362,Zhigansk,79,RU,1579966672,92,66.77,123.37,-35.81,12.48
363,Nanakuli,26,US,1579966672,73,21.39,-158.15,71.01,5.01
364,Bulungu,15,CD,1579966673,51,-4.55,18.6,88.54,4.23
365,Preobrazheniye,81,RU,1579966673,49,42.9,133.91,13.91,3.87
366,Lumding,0,IN,1579966673,85,25.75,93.17,52.14,1.63
367,Lujan,0,AR,1579966673,42,-34.57,-59.1,95.0,4.0
368,Sao Raimundo das Mangabeiras,100,BR,1579966673,84,-7.02,-45.48,79.45,3.69
369,Alice Springs,0,AU,1579966504,22,-23.7,133.88,77.02,8.39
370,Laureles,98,US,1579966673,87,26.11,-97.49,70.0,7.0
371,Hambantota,100,LK,1579966674,73,6.12,81.12,80.78,20.65
372,Coahuayana Viejo,33,MX,1579966674,72,18.73,-103.68,70.95,3.4
373,Taldan,99,RU,1579966674,98,53.67,124.8,-19.59,2.84
